Role,UserID,Username,DisplayName
𝙱𝚘𝚜𝚜 𝙻𝚊𝚍𝚢,417401632377012235,_cachemire_,ᴄᴀꜱʜᴍᴇʀᴇ
Head Manager,417401632377012235,_cachemire_,ᴄᴀꜱʜᴍᴇʀᴇ
Head Manager,763400835118923817,belleza,~Belleza
Manager,417401632377012235,_cachemire_,ᴄᴀꜱʜᴍᴇʀᴇ
Manager,763400835118923817,belleza,~Belleza
Manager,1266189993131642891,dance.lu,Dance
Head Host,402176935871905802,galaxiax3,Galaxia
T2 VIP+,255079309885046785,fuxxinmint,FuxxinMINT
T3 VIP+,172027077455773697,.danz,ᴅᴀɴᴢ
T3 VIP+,188786459984134144,inkaddict,~~ink~~
T3 VIP+,263097952619331594,itschaddy,༒ĆĦΔĐĐ¥༒
T3 VIP+,340443714004713472,jackof5pades,Jackof5pades
T3 VIP+,510874254934278164,vmimo,mimo
